training_method,ratio,n_seeds,extrapolate_mse_mean,extrapolate_mse_std,extrapolate_mse_min,extrapolate_mse_max,extrapolate_mse_range,extrapolate_mse_median,final_mse_mean,final_mse_std,final_mse_min,final_mse_max,final_mse_range,final_mse_median,validation_mse_mean,validation_mse_std,validation_mse_min,validation_mse_max,validation_mse_range,validation_mse_median,best_loss_mean,best_loss_std,best_loss_min,best_loss_max,best_loss_range,best_loss_median,residual_mse_mean,residual_mse_std,residual_mse_min,residual_mse_max,residual_mse_range,residual_mse_median,model_vf_rel_error_mean,model_vf_rel_error_std,model_vf_rel_error_min,model_vf_rel_error_max,model_vf_rel_error_range,model_vf_rel_error_median
heun,1,5,0.01136811722387351,0.008251300841056753,0.0024252964387143586,0.0201495085334695,0.017724212094755144,0.013749266801524492,0.011547221619560621,0.00967033819422255,0.0006522357606824728,0.02080042410297985,0.02014818834229738,0.014363134916401161,0.0005990716321322951,0.0004327111373995686,7.542572522981914e-05,0.0010362640038845301,0.000960838278654711,0.0007575658541380327,0.0036319161798665607,0.0007460308382618921,0.002734006216541842,0.004324927017277981,0.0015909208007361393,0.003909284028726212,0.005174289509835965,0.004881065071919163,0.00011885494389187429,0.010717001516695744,0.01059814657280387,0.005484278727615686,0.0028806311075259723,0.0020412656151292713,0.000516892406227723,0.004908266919264016,0.004391374513036293,0.0035111653793385147
heun,2,5,0.009568551245931037,0.009881855781042701,0.0020619984680057984,0.024508633688421204,0.022446635220415404,0.0032639033969558548,0.01041168282046181,0.013159855960722134,0.001068695852488663,0.030889982683682572,0.029821286831193908,0.0023014068317676398,0.0004843724933030223,0.0005072995794603124,5.8701084743428745e-05,0.0012321386707693093,0.0011734375860258804,0.00024107369874165445,0.003433802055585205,0.000801785839166392,0.002760319884882321,0.004587635960592282,0.0018273160757099616,0.0030404489745022947,0.0036094046799499692,0.003191520358846933,0.0003332159577676599,0.007177887516714676,0.006844671558947016,0.003701463239434398,0.002517842760789329,0.0014891952201165405,0.0008654747900391021,0.004016889180191799,0.003151414390152697,0.0028845511638441682
heun,4,5,0.008054271647101612,0.007798472519610241,0.0020204815602785694,0.020075404380488,0.01805492282020943,0.0035946426929933314,0.007935936000308706,0.008473294790439253,0.0016363705005954016,0.020474334000304732,0.018837963499709332,0.0022833540231588564,0.0003411493233796323,0.0003841709680102345,3.545698175414172e-05,0.0008953500788630056,0.0008598930971088638,9.31735784258852e-05,0.003234736238883508,0.0006627640075612053,0.002701003807335577,0.004196091540635502,0.0014950877332999255,0.002827212345899689,0.004325979167551397,0.005566908532054006,0.0002028872600688629,0.012135587492647528,0.011932700232578666,0.0006684044935709508,0.0024483645204099545,0.0021592867897823323,0.0006753344661695355,0.005223022889102466,0.00454768842293293,0.0012257762619982328
heun,8,5,0.012925426363084372,0.010836285004866369,0.0019229183593449022,0.026468553653499986,0.024545635294155082,0.008152646726991765,0.014596634487135857,0.013670865879969239,0.0018715940101946401,0.03029548865843187,0.02842389464823723,0.00733312783204529,0.0006519064391790321,0.0005028450667115206,3.854333368446227e-05,0.0011779701782593792,0.001139426844574917,0.00046833082557866314,0.0037096670547013396,0.000823027090500773,0.0027142192121142367,0.004610686320073536,0.0018964671079592997,0.0033727318361193356,0.004858159655619624,0.004085525069690812,0.00027003207598821547,0.009987070947160592,0.009717038871172376,0.0040238365549110705,0.0029749815754763222,0.0016086851108894295,0.0007791107628538358,0.004738169510327865,0.0039590587474740285,0.0030075419386995147
heun,16,5,0.010919201288066884,0.011329479984192524,0.001966947742744907,0.0251234143102502,0.023156466567505293,0.003801918320652922,0.01212460093290936,0.014187886125541654,0.0014551170738408019,0.03204973948375901,0.030594622409918212,0.0030215293891994463,0.0004831845920058576,0.0005792464910652831,4.252024584949929e-05,0.0012501171615455402,0.001207596915696041,7.90730809480922e-05,0.0034350186686820773,0.000934831883577579,0.0027217323585703923,0.004610889582498102,0.0018891572239277095,0.0027935534612228904,0.004077525934877963,0.005335751429990871,0.0002961250394762276,0.012092187459562087,0.01179606242008586,0.0005522195835113297,0.002406338224969812,0.0020541223499333412,0.0008158852692394633,0.005213675076493359,0.004397789807253895,0.0011141596554062607
rk4,1,5,0.00862175261449408,0.005394540539671812,0.003173143226869559,0.014556419467259694,0.011383276240390134,0.00579765615956113,0.008347701810403368,0.006848713159671324,0.0013216499921117398,0.016892905736780053,0.015571255744668314,0.004630799177418995,0.000419909574489212,0.00029715332386683627,0.00010874584907795596,0.0008651117658003549,0.0007563659167223989,0.00028682523424696947,0.003373682617278622,0.0004938392024496076,0.0028332959529364632,0.00405513495469845,0.0012218390017619866,0.003153679019202449,0.005330797595267327,0.004912908830140772,0.0001488897570028529,0.010923670787378102,0.010774781030375248,0.0027422730878473114,0.003045879319373691,0.0018391188233776875,0.0005785274054857193,0.004955367039112806,0.004376839633627087,0.0024828293866069498
rk4,2,5,0.013411248018027205,0.010997091933493021,0.0019046409127619303,0.025321200219162295,0.023416559306400363,0.011554631389685939,0.015051350977400086,0.013567286181393468,0.001700239722593856,0.03005738813310331,0.028357148410509455,0.012111546143617388,0.0006234834418622933,0.0005708005757374692,4.0837266653951634e-05,0.0012704986192742182,0.0012296613526202665,0.0006055647879511473,0.0036567041268242063,0.0009057738120394765,0.002720857775514411,0.00455828103296353,0.0018374232574491192,0.003692636055929879,0.0050363173201983065,0.004578843087807491,0.0003042835424224929,0.010499347116445257,0.010195063574022764,0.0060438905318359205,0.0028994466963463256,0.0019086987273466917,0.0008270480804987523,0.00485816961329495,0.004031121532796198,0.0036859532367893174
rk4,4,5,0.00906837676185875,0.009376960843583278,0.0014953556808387698,0.019713688688057146,0.018218333007218375,0.003247684439416296,0.009447200030947456,0.011241600162389889,0.0011875400623273973,0.023005652012183138,0.02181811194985574,0.0013923606378683723,0.00043713162113580924,0.0005068451816112571,4.2196852136874796e-05,0.0010903542786433393,0.0010481574265064646,0.00011342812463995616,0.003365431655101614,0.0008188335513431909,0.002702376819075037,0.00432469136508362,0.001622314546008583,0.0028415585028088203,0.0045977817087445695,0.005934020470507659,0.00013199670399672704,0.012097821445922679,0.011965824741925951,0.0005330804648572132,0.0024638545529944373,0.0023089279395487796,0.0005447196845332129,0.005214889511586708,0.004670169827053495,0.0010946818314348415
rk4,8,5,0.009409414768216528,0.006912209938682797,0.0019472429423954894,0.017948185576154914,0.016000942633759424,0.009870470912333664,0.009424730956492017,0.00769048033342552,0.0013197972634043868,0.01812147119821141,0.016801673934807023,0.010252809215099397,0.0004230875067344173,0.00033933792927154583,4.065398638558773e-05,0.0007688757997679312,0.0007282218133823434,0.0004481964561240832,0.0033856888253765496,0.0005987140801643837,0.0027162026498931857,0.004044674551583598,0.0013284719016904123,0.0034410178076203822,0.005101219955627121,0.004953133596961954,0.0001414028889204539,0.011847979020558284,0.01170657613163783,0.0065461242825646405,0.002843616749996498,0.002055795545888833,0.0005637942826054522,0.005160760020260402,0.00459696573765495,0.0038360446137660565
rk4,16,5,0.010631683040845137,0.007313533573431599,0.0017013543691039165,0.020462834450637717,0.0187614800815338,0.010689147999763242,0.011681695769338812,0.009155270129881495,0.0013053898261675982,0.025118445047781636,0.02381305522161404,0.012461354744280447,0.0005710580598054995,0.0004185253768051701,5.2808371658636064e-05,0.001137223177631742,0.0010844148059731059,0.0005591160757861782,0.0035648029041928505,0.0006299060304537127,0.0027323066619665552,0.004400493330277963,0.0016681866683114078,0.0036695587948869703,0.005458111268011801,0.0041701625123884535,0.0003153611827373881,0.010107867616654734,0.009792506433917346,0.004510831738904743,0.0031971116982803987,0.0015999751778774515,0.0008419681127474533,0.0047667381860298196,0.0039247700732823665,0.003184342989611939
