training_method,seed,metric,best_ratio,best_value,ratio_ranking_low_to_high_error,values_by_ratio
heun,0,extrapolate_mse,16,0.002387970519447568,16;4;8;1;2,1:0.0137492668015;2:0.0149481882791;4:0.00274645207108;8:0.00815264672699;16:0.00238797051945
heun,1,extrapolate_mse,1,0.002939939969612075,1;2;4;16;8,1:0.00293993996961;2:0.00326390339696;4:0.00359464269299;8:0.0056761578815;16:0.00380191832065
heun,2,extrapolate_mse,4,0.011834377530669979,4;1;8;2;16,1:0.017576574376;2:0.0245086336884;4:0.0118343775307;8:0.0224068551941;16:0.0251234143103
heun,3,extrapolate_mse,8,0.0019229183593449022,8;16;4;2;1,1:0.00242529643871;2:0.00206199846801;4:0.00202048156028;8:0.00192291835934;16:0.00196694774274
heun,4,extrapolate_mse,2,0.0030600323971617994,2;4;1;16;8,1:0.0201495085335;2:0.00306003239716;4:0.0200754043805;8:0.0264685536535;16:0.0213157555472
rk4,0,extrapolate_mse,4,0.0014953556808387698,4;16;1;2;8,1:0.00579765615956;2:0.0115546313897;4:0.00149535568084;8:0.0141689325844;16:0.0017013543691
rk4,1,extrapolate_mse,8,0.0031122418258073456,8;1;4;2;16,1:0.00317314322687;2:0.00401384972939;4:0.00324768443942;8:0.00311224182581;16:0.0106891479998
rk4,2,extrapolate_mse,8,0.009870470912333664,8;1;4;16;2,1:0.0143067394298;2:0.0242619178391;4:0.0189095412389;8:0.00987047091233;16:0.0204628344506
rk4,3,extrapolate_mse,2,0.0019046409127619303,2;8;4;1;16,1:0.00527480478894;2:0.00190464091276;4:0.00197561376205;8:0.0019472429424;16:0.00584636193087
rk4,4,extrapolate_mse,16,0.014458716453845916,16;1;8;4;2,1:0.0145564194673;2:0.0253212002192;4:0.0197136886881;8:0.0179481855762;16:0.0144587164538
