experiment_kind,training_method,prediction_method,ratio,predict_ratio,seed,best_epoch,h_model,h_predict,noise_level,best_loss,train_mse,validation_mse,extrapolate_mse,residual_mse,residual_rel_error,model_vf_mse,model_vf_rel_error,instability_rate,final_mse,final_l2_error,residual_mean_abs,residual_l2_norm,residual_rms,f_physics_a,f_physics_b,f_physics_r,f_physics_z
seed_sensitivity,heun,rk4,4,16,0,9800,0.0125,0.003125,0.01,0.1735026077836114,0.0030644281591683427,0.002550094656294569,0.021226191138804897,0.0015721882546178682,0.03497899095846632,0.0015721882546178654,0.0018799391834931518,0.0,0.027829283606686444,0.6672844503710414,8.255753073656237,651.9023931551035,16.216678139405545,1.0,0.05,1.5,0.03
seed_sensitivity,heun,rk4,4,16,1,12300,0.0125,0.003125,0.01,0.17253487537890216,0.002309457878493346,0.0019168943321256054,0.008771820626445163,0.006831943766302009,0.07291672341656279,0.006831943766302016,0.003918895363376701,0.0,0.002216133950452763,0.18830332765844637,8.25334280221733,651.9338958327647,16.217461797802148,1.0,0.05,1.5,0.03
seed_sensitivity,heun,rk4,4,16,2,20100,0.0125,0.003125,0.01,0.1726492077729051,0.0023680970420960927,0.0019511900058872416,0.007694778707342467,0.005698712202726755,0.0665952672078109,0.005698712202726748,0.0035791499076635908,0.0,0.0034465142532152625,0.2348280819055596,8.256490531287282,652.1540312828472,16.222937871795043,1.0,0.05,1.5,0.03
seed_sensitivity,heun,rk4,4,16,3,7600,0.0125,0.003125,0.01,0.17418404946346996,0.0038950877947143405,0.003180642565146548,0.04020878428014636,0.0015132022148539436,0.03431653955857994,0.0015132022148539445,0.001844335859621261,0.0,0.06503950104078939,1.020113727313102,8.26248376601223,651.7470336362269,16.212813426927163,1.0,0.05,1.5,0.03
seed_sensitivity,heun,rk4,4,16,4,7100,0.0125,0.003125,0.01,0.17457071132251697,0.004037865854768161,0.003203254904451966,0.03977788386764352,0.0039954489151399885,0.055761929703813114,0.003995448915139987,0.0029969142540978923,0.0,0.054100197451529844,0.930377965788355,8.258251854078221,651.8408362261122,16.21514685356401,1.0,0.05,1.5,0.03
seed_sensitivity,rk4,rk4,4,16,0,9000,0.0125,0.003125,0.01,0.1737402395271372,0.0033004041833418984,0.002743665555495265,0.024793862992813855,0.0018419647952507136,0.037861312591639676,0.001841964795250716,0.0020348490087670323,0.0,0.03435890119455606,0.7414461673735302,8.256877436462975,651.8667276822514,16.21579092760819,1.0,0.05,1.5,0.03
seed_sensitivity,rk4,rk4,4,16,1,8600,0.0125,0.003125,0.01,0.17330033971143124,0.0029400185214967516,0.0025225106878549773,0.017417053829897906,0.0008508106711427514,0.02573187705062572,0.0008508106711427485,0.0013829548139264124,0.0,0.02461280129915967,0.6275387006285388,8.255341607166702,651.7697423759932,16.21337832794242,1.0,0.05,1.5,0.03
seed_sensitivity,rk4,rk4,4,16,2,8500,0.0125,0.003125,0.01,0.17439565439388405,0.003986658657837726,0.003269282691252459,0.03525818791096274,0.0027857137816561907,0.04656110192310431,0.002785713781656189,0.002502417523587138,0.0,0.055451878134189114,0.9419288986685914,8.25975131667617,651.766844621375,16.213306243602087,1.0,0.05,1.5,0.03
seed_sensitivity,rk4,rk4,4,16,3,12800,0.0125,0.003125,0.01,0.17262352904905007,0.0022309649172502512,0.0018708623333456558,0.009475119615548111,0.0027809163916619585,0.04652099227181213,0.0027809163916619594,0.0025002618380446395,0.0,0.00536801077858807,0.2930668395731751,8.255834393988454,652.1774840293883,16.223521280670564,1.0,0.05,1.5,0.03
seed_sensitivity,rk4,rk4,4,16,4,21800,0.0125,0.003125,0.01,0.17247643289642553,0.002238277083387888,0.0018195648596764638,0.007785067337161723,0.011032850526256592,0.09266140279097912,0.011032850526256606,0.004980069382534339,0.0,0.0011856103310275317,0.1377307710587598,8.254257434477065,652.2019982637015,16.224131095041344,1.0,0.05,1.5,0.03
