seed,left_early_solver,right_early_solver,both_stationary,common_objective_close,persistent_functional_path_effect,left_common_objective,right_common_objective,common_objective_abs_difference,parameter_l2_distance,parameter_relative_distance,residual_rms_difference,residual_relative_distance,residual_difference_relative_to_true_residual
0,forward_euler,heun,False,False,False,0.002679086595015374,0.0026419234973878527,3.71630976275213e-05,10.914167022328922,0.8944343014103889,0.01012514360032525,0.008937204236999152,0.008932153851223255
0,forward_euler,rk4,False,False,False,0.002679086595015374,0.0027128128577597905,3.372626274441648e-05,10.651144410420446,0.881781832303911,0.01160755810105328,0.010289582968335586,0.010239903638728662
0,heun,rk4,False,False,False,0.0026419234973878527,0.0027128128577597905,7.088936037193778e-05,0.8950331458687335,0.0739987166167309,0.01609217994886266,0.014232104922645315,0.014196127262846324
1,forward_euler,heun,False,False,False,0.0027728722187148527,0.0026420463684752233,0.00013082585023962935,10.150369836399173,0.8098337629176898,0.03416220666434377,0.030307748393824767,0.030137062531478655
1,forward_euler,rk4,False,False,False,0.0027728722187148527,0.0026409999555207847,0.000131872263194068,10.132341565725037,0.8092890816659111,0.035278111519441234,0.03128891692840013,0.031121486480659714
1,heun,rk4,False,True,False,0.0026420463684752233,0.0026409999555207847,1.0464129544386462e-06,0.5056327268528646,0.04037376784620764,0.0013570886061450283,0.001195077333486502,0.0011971903509042704
2,forward_euler,heun,False,False,False,0.002747801270726532,0.0026567768073967168,9.102446332981537e-05,6.644967775883439,0.5539768484694504,0.01858840065100574,0.01647303684282531,0.016398232066321336
2,forward_euler,rk4,False,False,False,0.002747801270726532,0.002838484728061634,9.06834573351019e-05,6.444130027836955,0.5406894475481522,0.018422555370814286,0.016451560438837436,0.016251927419528803
2,heun,rk4,False,False,False,0.0026567768073967168,0.002838484728061634,0.00018170792066491727,0.8753192524882824,0.07350214329944317,0.031021784491122636,0.027560561015373946,0.027366658958328047
