metric,rank,training_config,regularization_profile,n_runs,mean,std,min,max,median
extrapolate_mse,1,heun_ratio1,l2_plus_ortho,3,0.17821334440674033,0.11626991691765559,0.04795555102735663,0.27150913705585356,0.21517534513701084
extrapolate_mse,2,heun_ratio1,ortho_small,3,0.19769933431673173,0.12830206761698557,0.05084572411955244,0.2880652490092382,0.25418702982140456
extrapolate_mse,3,heun_ratio1,none,3,0.3220147024065387,0.23798331967926073,0.14045034788970198,0.591435759313886,0.23415800001602805
extrapolate_mse,4,heun_ratio1,l2_small,3,0.3280709044995969,0.2160904600847978,0.1774974719239632,0.5756678584155156,0.2310473831593121
extrapolate_mse,5,heun_ratio2,ortho_small,3,0.44779711136801165,0.1355583031659771,0.29293084632988076,0.5449376922783201,0.5055227954958341
extrapolate_mse,6,heun_ratio2,l2_plus_ortho,3,0.4912800400837738,0.2111006671587574,0.2477332912255752,0.6218413332268591,0.6042654957988871
extrapolate_mse,7,rk4_ratio1,ortho_small,3,0.585146950417114,0.1978498656058469,0.3789325488496902,0.773408627066124,0.6030996753355277
extrapolate_mse,8,heun_ratio4,l2_plus_ortho,3,0.5977590272220549,0.25424950407604613,0.32425482372797276,0.8269199939454399,0.6421022639927519
extrapolate_mse,9,rk4_ratio1,l2_plus_ortho,3,0.6127775440817211,0.20136713733982148,0.3823772707601257,0.7550979598788975,0.7008574016061404
extrapolate_mse,10,heun_ratio2,l2_small,3,0.6204692045073676,0.22412438250918504,0.36550368891543755,0.7863730272199826,0.7095308973866828
residual_mse,1,rk4_ratio1,l2_small,3,0.0015042197958683202,0.0011960853609702755,0.00047667425762160575,0.0028172001824787398,0.0012187849475046154
residual_mse,2,rk4_ratio2,none,3,0.0015060671376879483,0.0011993678735520842,0.00046773753782236105,0.0028188861618526017,0.001231577713388882
residual_mse,3,rk4_ratio8,none,3,0.0015209867394999049,0.0012133236774635873,0.0004552265480410383,0.002841439534743442,0.0012662941357152345
residual_mse,4,diffrax_tsit5,l2_small,3,0.00152279806762387,0.0010471570157944594,0.0004940787560971556,0.002587466953999035,0.0014868484927754201
residual_mse,5,rk4_ratio8,l2_small,3,0.0015253203653392364,0.0012064505076654223,0.00045727570250779715,0.0028339285706863834,0.0012847568228235285
residual_mse,6,diffrax_tsit5,none,3,0.0015311877849449515,0.001144783194049832,0.0005201230983298835,0.0027741750156787715,0.0012992652408261992
residual_mse,7,rk4_ratio4,none,3,0.0015513439944145173,0.0011130956094664078,0.0005885288508464519,0.0027701266982042326,0.0012953764341928672
residual_mse,8,heun_ratio8,l2_small,3,0.001559783796278826,0.0009944212759653655,0.00066283774025851,0.002629134834476803,0.001387378814101165
residual_mse,9,rk4_ratio4,l2_small,3,0.001562335367496407,0.0012239463900033493,0.00042126683220629867,0.002855030776390695,0.001410708493892227
residual_mse,10,rk4_ratio2,l2_small,3,0.0015738694291955553,0.0009154341575090957,0.0007912798517051391,0.0025805379756172805,0.001349790460264246
validation_mse,1,heun_ratio2,none,3,0.0007082052010809699,0.000285293137123224,0.0003922685435892227,0.0009469831544350393,0.0007853639052186474
validation_mse,2,heun_ratio2,l2_small,3,0.0007684383800703936,0.000401534312424127,0.0003628743916829223,0.0011658178884988997,0.000776622860029359
validation_mse,3,heun_ratio2,l2_plus_ortho,3,0.0009189965653934582,0.0007185470326447408,0.0004029560664707308,0.001739677006023745,0.0006143566236858989
validation_mse,4,heun_ratio2,ortho_small,3,0.0009247683769398803,0.0006859545094207925,0.0004126929761543971,0.0017041297600830876,0.0006574823945821563
validation_mse,5,heun_ratio4,ortho_small,3,0.0009277833722913677,0.0007387019648043172,0.0003374420950225826,0.0017561551690924069,0.0006897528527591136
validation_mse,6,rk4_ratio2,ortho_small,3,0.0009278729459791723,0.000688216423219287,0.0004555304492466326,0.0017174981396056615,0.0006105902490852231
validation_mse,7,heun_ratio4,none,3,0.0009419205500364522,0.000566324972828612,0.0005011486386936491,0.0015806533312936793,0.0007439596801220279
validation_mse,8,heun_ratio8,l2_small,3,0.0009650115756812109,0.0005609860419370435,0.0006012252953100818,0.001611070630070408,0.0006827388016631428
validation_mse,9,diffrax_tsit5,none,3,0.0009705987789561783,0.0006076906918603157,0.0005848005819414185,0.0016710979073678025,0.0006558978475593143
validation_mse,10,heun_ratio1,l2_plus_ortho,3,0.0009875695799643847,0.0003183240368986301,0.0006638800245023579,0.0013002420614869662,0.0009985866539038298
best_loss,1,heun_ratio2,none,3,0.0008263502820893802,0.00033893227109423616,0.0005098096913035228,0.0011839359687038653,0.0007853051862607522
best_loss,2,heun_ratio2,l2_small,3,0.0008642789917904341,0.00042642960477549214,0.0004883075291884276,0.0013276304840543127,0.0007768989621285618
best_loss,3,rk4_ratio2,ortho_small,3,0.0009278829162637572,0.0006882243862025046,0.0004555400487998506,0.0017175179598480613,0.0006105907401433601
best_loss,4,diffrax_tsit5,none,3,0.0009705987789561783,0.0006076906918603155,0.0005848005819414188,0.0016710979073678023,0.0006558978475593142
best_loss,5,heun_ratio8,l2_small,3,0.0009772762120515862,0.0005673586631987965,0.000614432083511398,0.001631090016823839,0.0006863065358195215
best_loss,6,heun_ratio4,ortho_small,3,0.0009790145971252495,0.000768689985968507,0.00036642091371223923,0.0018415766892385403,0.0007290461884249692
best_loss,7,heun_ratio4,none,3,0.0009934822592403301,0.0005915456190955192,0.0005516936396880485,0.0016655343365398374,0.0007632188014931045
best_loss,8,rk4_ratio4,l2_plus_ortho,3,0.001007387739352198,0.0006978107269192338,0.00046472231809678013,0.0017945455085354306,0.0007628953914243833
best_loss,9,rk4_ratio1,ortho_small,3,0.0010078200760389865,0.0008102840934342072,0.0004241054240349105,0.0019329373927630938,0.0006664174113189552
best_loss,10,rk4_ratio16,l2_plus_ortho,3,0.001010343409882008,0.0007059585734890473,0.0004630645533955769,0.0018071863333494708,0.0007607793429009765
