training_config,parameter,true_value,learned_mean,learned_std,learned_min,learned_max,abs_error_mean,abs_error_std,relative_error_mean,relative_error_std,n_runs
euler_ratio1,a,1.0,0.890283652717231,0.04111919215710067,0.8543336544230924,0.9555258753592569,0.10971634728276894,0.04111919215710067,0.1097163472826592,0.04111919215705955,5
euler_ratio1,b,0.05,0.05269931370223942,0.0019357356043389735,0.04983241207990408,0.05433767014914547,0.002766348870277778,0.001813582867880163,0.055326977404449015,0.036271657356877825,5
euler_ratio1,r,1.5,1.484185933222769,0.03594997021898663,1.4584832864399073,1.5462251110764569,0.03430411120781396,0.01157761575592538,0.022869407471860725,0.007718410503945106,5
euler_ratio1,z,0.03,0.029636951151754194,0.0005548694685265921,0.028835257093543187,0.030092410711321307,0.0004121355874832297,0.0005102117519041073,0.013737852915649728,0.017007058396236677,5
euler_ratio16,a,1.0,0.925115662752704,0.01692712445549276,0.9030683078090823,0.9395510617829859,0.07488433724729604,0.01692712445549276,0.07488433724722116,0.016927124455475832,5
euler_ratio16,b,0.05,0.05007178913622701,0.00018532682116674455,0.04989477776576072,0.05036637376353315,0.00012669906396763214,0.0001439524738627383,0.0025339812793019633,0.0028790494771971857,5
euler_ratio16,r,1.5,1.4948509160283379,0.0016398022200581092,1.4925756910346029,1.4966135321415683,0.005149083971661961,0.0016398022200581092,0.0034327226477723514,0.0010932014800380105,5
euler_ratio16,z,0.03,0.029902491589727943,4.7838793164679184e-05,0.029838167043739476,0.029958189603996814,9.750841027205692e-05,4.783879316467918e-05,0.003250280342293555,0.0015946264387694852,5
heun_ratio1,a,1.0,0.9202809609575194,0.016374655555065513,0.8935593488030401,0.9368319793334445,0.07971903904248048,0.016374655555065513,0.07971903904240076,0.016374655555049134,5
heun_ratio1,b,0.05,0.05016250154810516,0.0002213364978201937,0.04992075813638549,0.05049802573155267,0.00019419829355095674,0.000186700469108657,0.0038839658709414553,0.003734009382098459,5
heun_ratio1,r,1.5,1.4967955042235483,0.0025252115897977613,1.4949051326251397,1.501113445664073,0.0036498740420809472,0.001600221670910074,0.002433249361385676,0.0010668144472726715,5
heun_ratio1,z,0.03,0.029942728960270077,6.020807767260285e-05,0.029889719691061734,0.0300462724037957,7.578000124820253e-05,2.3381977466439077e-05,0.002526000041522551,0.0007793992488553227,5
rk4_ratio4,a,1.0,0.9225352059472719,0.013732014942610855,0.9005533488507624,0.9338921170181156,0.07746479405272808,0.013732014942610856,0.07746479405265061,0.01373201494259712,5
rk4_ratio4,b,0.05,0.05004807354043258,0.00020642721380889544,0.049892855032541546,0.05038771628375397,0.0001437359664820323,0.0001402711343698401,0.002874719329583151,0.0028054226873406936,5
rk4_ratio4,r,1.5,1.4984140873145404,0.0008887100704907296,1.4974374121764555,1.4994805069094745,0.0015859126854595562,0.0008887100704907296,0.0010572751236389993,0.0005924733803267581,5
rk4_ratio4,z,0.03,0.029966148231399016,3.652002136937924e-05,0.029922524504615123,0.030009436015309764,3.762617472488558e-05,3.15670473287131e-05,0.0012542058241210457,0.0010522349109220288,5
diffrax_tsit5,a,1.0,0.9224145674611501,0.014048355731175913,0.8997942066302161,0.9337932218730279,0.07758543253884989,0.014048355731175913,0.0775854325387723,0.014048355731161866,5
diffrax_tsit5,b,0.05,0.05004639945151114,0.00024197801415791367,0.04982411883890727,0.05042520878114055,0.00017731468147350187,0.00014813465286324156,0.003546293629399111,0.0029626930572055773,5
diffrax_tsit5,r,1.5,1.4987536252815612,0.0008290994984771067,1.497727510403538,1.4995843169012069,0.0012463747184388474,0.0008290994984771066,0.0008309164789586775,0.0005527329989843692,5
diffrax_tsit5,z,0.03,0.02997115398612791,3.0545892312369874e-05,0.02993466969817954,0.030009421036209558,3.2614428355914185e-05,2.5368110125039562e-05,0.0010871476118275683,0.0008456036708064655,5
